Published,Group,Headline,Link,Website,Authors,Pinterest,LinkedIn,Twitter Influencer Shares,Total Facebook,Likes,Shares,Comments,Total Interactions
2018-04-20T11:37:46+01:00,Indosat,Digital Day Wujud Kepedulian Indosat di Bidang Edukasi dan Inovasi  - Selular.ID,https://selular.id/2018/04/digital-day-wujud-kepedulian-indosat-di-bidang-edukasi-dan-inovasi/,selular.id,,0,0,0,23,21,2,0,23
2018-12-28T09:58:47Z,Indosat,PBNU and Indosat Cooperation in the Field of Education | Arrahmah.co.id,https://www.arrahmah.co.id/2018/12/24864/pbnu-and-indosat-cooperation-in-the-field-of-education.html,arrahmah.co.id,Redaksi Arrahmah.co.id,0,0,1,0,0,0,0,1
2018-10-05T11:45:06+01:00,Indosat,Lintasarta Sabet 2 Kategori Penghargaan CSR 2018 – Sumedang Media,https://warta.sumedang.info/tekno/121266-lintasarta-sabet-2-kategori-penghargaan-csr-2018/,warta.sumedang.info,,0,0,0,0,0,0,0,0
2018-05-15T06:35:15+01:00,BCA,Dorong Pelestarian Hutan Mangrove untuk Menyelamatkan Habitat Pesisir | indopos.co.id,https://indopos.co.id/read/2018/05/15/138063/dorong-pelestarian-hutan-mangrove-untuk-menyelamatkan-habitat-pesisir,indopos.co.id,,0,0,0,2,0,2,0,2
2018-11-21T00:47:55Z,BCA,BCA Donasikan Rp300 Juta untuk Pembangunan Sumur Bor di Gunungkidul | Manajemen - Bisnis.com,http://manajemen.bisnis.com/read/20181121/240/861714/bca-donasikan-rp300-juta-untuk-pembangunan-sumur-bor-di-gunungkidul,manajemen.bisnis.com,,0,0,0,0,0,0,0,0
2018-11-19T07:01:34Z,BCA,Bca Dukung Obyek Wisata Gunung Kidul,https://www.antarafoto.com:443/bisnis/v1542611101/bca-dukung-obyek-wisata-gunung-kidul,antarafoto.com,,0,0,0,0,0,0,0,0
2018-02-05T18:24:42Z,BCA,"Perkenalkan Kepada Pelajar, BCA Gelar Wayang For Student | indopos.co.id",https://indopos.co.id/read/2016/11/24/75031/perkenalkan-kepada-pelajar-bca-gelar-wayang-for-student,indopos.co.id,,0,0,0,0,0,0,0,0
2018-04-03T10:38:42+01:00,BCA,BCA Dukung Pembuatan Film Impian 1000 Pulau -,http://foto.bisnis.com/view/20180403/779586/bca-dukung-pembuatan-film-impian-1000-pulau,foto.bisnis.com,,0,0,0,0,0,0,0,0
2018-11-14T09:29:24Z,BCA,BCA Tutup Gerakan Berbagi #BukuUntukIndonesia - Bisnis.com,http://foto.bisnis.com/view/20181114/859745/bca-tutup-gerakan-berbagi-bukuuntukindonesia,foto.bisnis.com,,0,0,0,0,0,0,0,0
2018-05-15T06:37:25+01:00,BCA,Dorong Pelestarian Hutan Mangrove untuk Menyelamatkan Habitat Pesisir | indopos.co.id,https://www.indopos.co.id/read/2018/05/15/138063/dorong-pelestarian-hutan-mangrove-untuk-menyelamatkan-habitat-pesisir,indopos.co.id,,0,0,0,0,0,0,0,0
2018-07-11T16:29:45+01:00,BCA,Pengurus Kampung Adat Minangkabau dan Geopark Silokek Ikut Pelatihan | indopos.co.id,https://indopos.co.id/read/2018/07/11/143922/pengurus-kampung-adat-minangkabau-dan-geopark-silokek-ikut-pelatihan,indopos.co.id,,0,0,0,0,0,0,0,0
2018-11-19T07:01:33Z,BCA,Bca Dukung Obyek Wisata Gunung Kidul,https://www.antarafoto.com:443/bisnis/v1542611105/bca-dukung-obyek-wisata-gunung-kidul,antarafoto.com,,0,0,0,0,0,0,0,0
2018-11-22T10:49:09Z,BCA,BCA Syariah Gelar Donor Darah - Bisnis.com,http://foto.bisnis.com/view/20181122/862279/bca-syariah-gelar-donor-darah,foto.bisnis.com,,0,0,0,0,0,0,0,0
2018-06-07T03:17:46+01:00,BRI,"Sambut Lebaran, Bank BRI Bagikan 64 Ribu Paket Sembako Gratis - Tribunnews.com",http://www.tribunnews.com/nasional/2018/06/07/sambut-lebaran-bank-bri-bagikan-64-ribu-paket-sembako-gratis,tribunnews.com,,0,0,0,3,1,2,0,3
2018-02-21T04:48:45Z,BRI,Sekantung Darah BRI Life Pengganti Mawar | Republika Online,http://republika.co.id/share/p4hhd8415,republika.co.id,,0,0,2,0,0,0,0,2
2018-01-30T16:10:38Z,BRI,Beasiswa Nusantara Cerdas Wujud Komitmen BRI Majukan Pendidikan Indonesia,http://politik.rmol.co/read/2018/01/30/324802/Beasiswa-Nusantara-Cerdas-Wujud-Komitmen-BRI-Majukan-Pendidikan-Indonesia-,politik.rmol.co,,0,0,1,0,0,0,0,1
2018-02-21T00:03:15Z,BRI,BRI Life Gelar Suntik Difteri Massal - Tribunnews.com,http://www.tribunnews.com/metropolitan/2018/02/21/bri-life-gelar-suntik-difteri-massal,tribunnews.com,,0,0,0,1,0,0,0,1
2018-10-24T07:14:26+01:00,BRI,BRI Boyolali Salurkan 50 Tanki Air Bersih,https://radarsolo.jawapos.com/read/2018/10/24/100023/bri-boyolali-salurkan-50-tanki-air-bersih,radarsolo.jawapos.com,JawaPos.com,0,0,1,0,0,0,0,1
2018-01-30T16:21:32Z,BRI,BNC Angkatan 4 Wujud Komitmen BRI Majukan Pendidikan Indonesia,http://politik.rmol.co/read/2018/01/30/324802/BNC-Angkatan-4-Wujud-Komitmen-BRI-Majukan-Pendidikan-Indonesia-,politik.rmol.co,,0,0,1,0,0,0,0,1
2018-06-22T23:19:47+01:00,BRI,CSR BRI Kembangkan Wisata Tuban,https://radar.jawapos.com/radarbojonegoro/read/2018/06/23/82480/csr-bri-kembangkan-wisata-tuban,radar.jawapos.com,JawaPos.com,0,0,1,0,0,0,0,1
2018-07-29T13:53:26+01:00,BRI,BRI Raih Penghargaan CSR dari BPJS Kesehatan | Finansial - Bisnis.com,http://finansial.bisnis.com/read/20180729/90/821865/bri-raih-penghargaan-csr-dari-bpjs-kesehatan,finansial.bisnis.com,,0,0,0,0,0,0,0,0
2018-02-13T15:59:34Z,BRI,100 Pelaku UKM Sergai Dapat Bantuan,http://www.medanbisnisdaily.com/news/read/2018/02/10/336990/100-pelaku-ukm-sergai-dapat-bantuan/,medanbisnisdaily.com,,0,0,0,0,0,0,0,0
2018-05-15T14:20:37+01:00,BRI,BRI Kanca Rembang Salurkan Ambulans di-Lunching RS Bhina Bhakti Husada,https://www.jawapos.com/radarkudus/read/2018/05/15/73530/bri-kanca-rembang-salurkan-ambulans-di-lunching-rs-bhina-bhakti-husada,jawapos.com,,0,0,0,0,0,0,0,0
2018-06-07T03:37:50+01:00,BRI,"Sambut Lebaran, Bank BRI Bagikan 64 Ribu Paket Sembako Gratis",https://kabaru.id/news/sambut-lebaran-bank-bri-bagikan-64-ribu-paket-sembako-gratis-73552,kabaru.id,,0,0,0,0,0,0,0,0
2018-08-28T17:09:55+01:00,BRI,"Peduli Kekeringan, BRI Kanca Rembang Droping 125 Tangki Air Bersih",https://radarkudus.jawapos.com/read/2018/08/28/93900/peduli-kekeringan-bri-kanca-rembang-droping-125-tangki-air-bersih,radarkudus.jawapos.com,,0,0,0,0,0,0,0,0
2018-04-08T08:05:29+01:00,BRI,Bumn Bersih Sungai Ciliwung,https://www.antarafoto.com:443/peristiwa/v1523171109/bumn-bersih-sungai-ciliwung,antarafoto.com,,0,0,0,0,0,0,0,0
2018-08-06T09:35:35+01:00,BRI,Menpar Arief Yahya: Terima Kasih CSR BRI untuk Bencana Lombok | indopos.co.id,https://www.indopos.co.id/read/2018/08/06/146396/menpar-arief-yahya-terima-kasih-csr-bri-untuk-bencana-lombok,indopos.co.id,,0,0,0,0,0,0,0,0
2018-08-16T16:30:39+01:00,BRI,BRI Kanca Rembang Salurkan CSR untuk Renovasi Masjid Kodim,https://radarkudus.jawapos.com/read/2018/08/16/92994/bri-kanca-rembang-salurkan-csr-untuk-renovasi-masjid-kodim,radarkudus.jawapos.com,,0,0,0,0,0,0,0,0
2018-09-01T03:01:24+01:00,BRI,BRI Blangpidie Salurkan CSR,http://www.medanbisnisdaily.com/news/read/2018/09/01/358223/bri-blangpidie-salurkan-csr/,medanbisnisdaily.com,,0,0,0,0,0,0,0,0
2018-02-19T03:19:49Z,BRI,BRI Bantu UKM Simalungun,http://www.medanbisnisdaily.com/news/read/2018/02/19/337893/bri-bantu-ukm-simalungun/,medanbisnisdaily.com,,0,0,0,0,0,0,0,0
2018-06-05T09:14:00+01:00,BRI,"Sambut Lebaran, BRI Bagikan 64 Ribu Paket Sembako Gratis",https://www.wartaekonomi.co.id/read183377/sambut-lebaran-bri-bagikan-64-ribu-paket-sembako-gratis.html,wartaekonomi.co.id,,0,0,0,0,0,0,0,0
2018-03-23T02:09:44Z,BRI,BRI Salurkan CSR Rp 250 Juta untuk Bedah Rumah Tak Layak Huni,https://www.jawapos.com/radarkudus/read/2018/03/23/59309/bri-salurkan-csr-rp-250-juta-untuk-bedah-rumah-tak-layak-huni,jawapos.com,,0,0,0,0,0,0,0,0
2018-08-06T09:32:07+01:00,BRI,Menpar Arief Yahya: Terima Kasih CSR BRI untuk Bencana Lombok | indopos.co.id,https://indopos.co.id/read/2018/08/06/146396/menpar-arief-yahya-terima-kasih-csr-bri-untuk-bencana-lombok,indopos.co.id,,0,0,0,0,0,0,0,0
2018-02-13T16:02:17Z,BRI,BRI Kanwil Medan Beri Bantuan untuk UKM,http://www.medanbisnisdaily.com/news/read/2018/02/09/336887/bri-kanwil-medan-beri-bantuan-untuk-ukm/,medanbisnisdaily.com,,0,0,0,0,0,0,0,0
2018-02-13T16:00:29Z,BRI,BRI Bantu Pelaku UKM Cengkeh Turi,http://www.medanbisnisdaily.com/news/read/2018/02/09/336955/bri-bantu-pelaku-ukm-cengkeh-turi/,medanbisnisdaily.com,,0,0,0,0,0,0,0,0
2018-02-22T10:39:24Z,BRI,BRI Life Agendakan Program Donor Darah 3 Bulanan Sekali | Finansial - Bisnis.com,http://finansial.bisnis.com/read/20180222/215/741921/bri-life-agendakan-program-donor-darah-3-bulanan-sekali,finansial.bisnis.com,,0,0,0,0,0,0,0,0
2018-06-05T09:55:39+01:00,BRI,"Sambut Lebaran, BRI Tebar 64.000 Paket Sembako Gratis | Finansial - Bisnis.com",http://finansial.bisnis.com/read/20180605/90/803124/sambut-lebaran-bri-tebar-64.000-paket-sembako-gratis,finansial.bisnis.com,,0,0,0,0,0,0,0,0
2018-02-23T12:31:58Z,Astra,Astra Agro Kembali Raih Penghargaan CSR Terbaik,http://www.medanbisnisdaily.com/news/online/read/2018/02/23/26596/astra_agro_kembali_raih_penghargaan_csr_terbaik/,medanbisnisdaily.com,,0,0,0,52,37,1,14,52
2018-05-22T03:40:25+01:00,Astra,"Rupiah Semakin Lemah, Astra Lakukan Penyesuaian Outlook",http://mediaindonesia.com/read/detail/162327-rupiah-semakin-lemah-astra-lakukan-penyesuaian-outlook,mediaindonesia.com,,0,0,0,12,8,4,0,12
2018-12-10T02:44:10Z,Astra,"Peduli Lingkungan, Astra International Dukung Bali Hope Swimrun 2018",https://baliexpress.jawapos.com/read/2018/12/10/107702/peduli-lingkungan-astra-international-dukung-bali-hope-swimrun-2018,baliexpress.jawapos.com,JawaPos.com,0,0,1,4,3,1,0,5
2018-02-23T12:55:24Z,Astra,CSR Astra Agro Kembali Mendapat Penghargaan,https://pasarmodal.inilah.com/read/detail/2439145/csr-astra-agro-kembali-mendapat-penghargaan/,pasarmodal.inilah.com,,0,0,0,2,0,2,0,2
2018-05-02T13:30:29+01:00,Astra,Pendidikan Jadi Prioritas Utama CSR Astra Financial,https://www.jawapos.com/radarsurabaya/read/2018/05/02/69949/pendidikan-jadi-prioritas-utama-csr-astra-financial,jawapos.com,JawaPos.com,0,0,1,0,0,0,0,1
2018-11-12T16:28:20Z,Astra,Ekspedisi Tol Trans Jawa,https://www.rmol.co/read/2018/11/12/365972/Ekspedisi-Tol-Trans-Jawa-,rmol.co,,0,0,1,0,0,0,0,1
2018-10-18T22:44:59+01:00,Astra,Green Energy Innovation | Jakarta Globe,https://jakartaglobe.id/archive/green-energy-innovation/,jakartaglobe.id,,0,0,1,0,0,0,0,1
2018-11-12T21:30:14Z,Astra,Trans Java Toll Expedition | Jakarta Globe,https://jakartaglobe.id/archive/trans-java-toll-expedition/,jakartaglobe.id,,0,0,1,0,0,0,0,1
2018-07-04T15:29:46+01:00,Astra,"Semangat Astra, Semangat Indonesia, Gelorakan Asian Games 2018",http://www.pressrelease.id/release/semangat-astra-semangat-indonesia-gelorakan-asian-games-2018,pressrelease.id,,0,0,1,0,0,0,0,1
2018-04-24T10:20:56+01:00,Astra,Pembangunan Gedung Science And Techno Park Itb,https://www.antarafoto.com:443/peristiwa/v1524561305/pembangunan-gedung-science-and-techno-park-itb,antarafoto.com,,0,0,0,0,0,0,0,0
2018-05-21T16:07:58+01:00,Astra,Penjualan mobil Astra menurun di triwulan I-2018 | merdeka.com,https://www.merdeka.com/uang/penjualan-mobil-astra-menurun-di-triwulan-i-2018.html,merdeka.com,,0,0,0,0,0,0,0,0
2018-04-30T04:01:03+01:00,Astra,Pendidikan Jadi Prioritas Utama CSR Astra Financial | indopos.co.id,https://www.indopos.co.id/read/2018/04/30/136390/pendidikan-jadi-prioritas-utama-csr-astra-financial,indopos.co.id,,0,0,0,0,0,0,0,0
2018-03-17T04:50:09Z,Astra,Astra Daihatsu Jayakarta Sosialisasikan Thalassaemia ke Kalangan Pelajar SMK,https://www.msn.com/id-id/berita/other/astra-daihatsu-jayakarta-sosialisasikan-thalassaemia-ke-kalangan-pelajar-smk/ar-BBHsCoh,msn.com,,0,0,0,0,0,0,0,0
2018-08-13T05:21:55+01:00,Astra,"Serangkaian HUT 70 Bali Post dan HUT RI ke 73, Astra Motor Bali Gelar Service Gratis | BALIPOST.com",http://www.balipost.com/news/2018/08/13/52909/Serangkaian-HUT-70-Bali-Post...html,balipost.com,,0,0,0,0,0,0,0,0
2018-09-21T01:51:30+01:00,Astra,Pemkot Jakarta Utara Terima Sumbangan Kebun Hydroponik - Poskota News,http://poskotanews.com/2018/09/21/pemkot-jakarta-utara-terima-sumbangan-kebun-hydroponik/,poskotanews.com,,0,0,0,0,0,0,0,0
2018-10-19T05:37:48+01:00,Astra,Industri Sawit Ini Borong 5 Nusantara CSR Award – Sumedang Media,https://warta.sumedang.info/ekonomi-bisnis/126771-industri-sawit-ini-borong-5-nusantara-csr-award/,warta.sumedang.info,,0,0,0,0,0,0,0,0
2018-10-24T07:15:22+01:00,Astra,Pembukaan Trade Expo Indonesia 2018 - Bisnis.com,http://foto.bisnis.com/view/20181024/852700/pembukaan-trade-expo-indonesia-2018,foto.bisnis.com,,0,0,0,0,0,0,0,0
2018-12-06T10:14:46Z,Astra,Astra Motor Bali Terima Penghargaan CSR Kota Denpasar | BALIPOST.com,http://www.balipost.com/news/2018/12/06/63044/Astra-Motor-Bali-Terima-Penghargaan...html,balipost.com,,0,0,0,0,0,0,0,0
2018-05-31T13:54:41+01:00,Astra,Buka Puasa Bersama Grup Astra -,http://foto.bisnis.com/view/20180531/801721/buka-puasa-bersama-grup-astra,foto.bisnis.com,,0,0,0,0,0,0,0,0
2018-04-30T03:59:32+01:00,Astra,Pendidikan Jadi Prioritas Utama CSR Astra Financial | indopos.co.id,https://indopos.co.id/read/2018/04/30/136390/pendidikan-jadi-prioritas-utama-csr-astra-financial,indopos.co.id,,0,0,0,0,0,0,0,0
2018-10-19T05:21:32+01:00,Astra,"Jalankan Program CSR, Astra Agro Borong Penghargaan",http://www.medanbisnisdaily.com/news/read/2018/10/19/361893/jalankan-program-csr-astra-agro-borong-penghargaan/,medanbisnisdaily.com,,0,0,0,0,0,0,0,0
2018-11-12T13:06:52Z,Astra,Rini Soemarno Pimpin Ekspedisi Tembus Tol Trans Jawa - Bisnis.com,http://foto.bisnis.com/view/20181112/859059/rini-soemarno-pimpin-ekspedisi-tembus-tol-trans-jawa,foto.bisnis.com,,0,0,0,0,0,0,0,0
2018-03-22T07:44:00Z,Astra,Program SATU Indonesia Awards 2018 -,http://foto.bisnis.com/view/20180322/753068/program-satu-indonesia-awards-2018,foto.bisnis.com,,0,0,0,0,0,0,0,0
2018-04-24T10:20:55+01:00,Astra,Pembangunan Gedung Science And Techno Park Itb,https://www.antarafoto.com:443/peristiwa/v1524561309/pembangunan-gedung-science-and-techno-park-itb,antarafoto.com,,0,0,0,0,0,0,0,0
2018-07-04T13:23:19+01:00,Astra,Astra International Jadi Official Prestige Partner Asian Games 2018 -,http://foto.bisnis.com/view/20180704/812939/astra-international-jadi-official-prestige-partner-asian-games-2018-,foto.bisnis.com,,0,0,0,0,0,0,0,0
